step,prey_population,predator_population,total_population,total_kills,total_births,avg_prey_energy,avg_predator_energy,avg_prey_fitness,avg_predator_fitness,max_prey_generation,max_predator_generation,food_available,is_day,weather,prey_growth_rate,predator_growth_rate,kills_per_step,births_per_step,prey_smooth,predator_smooth,prey_predator_ratio,ecosystem_health,prey_momentum,predator_momentum
28,80,12,92,0,0,74.19,73.87,50.36,50.38,0,0,12036.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
29,80,12,92,0,0,74.16,73.83,50.37,50.39,0,0,12062.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
30,80,12,92,0,0,74.13,73.78,50.38,50.41,0,0,12088.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
31,80,12,92,0,0,74.1,73.74,50.39,50.42,0,0,12114.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
32,80,12,92,0,0,74.08,73.7,50.41,50.43,0,0,12140.4,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
33,80,12,92,0,0,74.05,73.66,50.42,50.45,0,0,12165.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
34,80,12,92,0,0,74.02,73.62,50.43,50.46,0,0,12191.2,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
35,80,12,92,0,0,73.99,73.57,50.44,50.47,0,0,12216.6,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
36,80,12,92,0,0,73.97,73.53,50.46,50.49,0,0,12242.0,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
37,80,12,92,0,0,73.94,73.49,50.47,50.5,0,0,12267.4,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
38,80,12,92,0,0,73.91,73.45,50.48,50.51,0,0,12292.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
39,80,12,92,0,0,73.88,73.41,50.49,50.53,0,0,12317.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
40,80,12,92,0,0,73.86,73.37,50.5,50.54,0,0,12342.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
41,80,12,92,0,0,73.83,73.32,50.52,50.56,0,0,12367.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
42,80,12,92,0,0,73.8,73.28,50.53,50.57,0,0,12392.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
43,80,12,92,0,0,73.77,73.24,50.54,50.58,0,0,12417.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
44,80,12,92,0,0,73.74,73.2,50.55,50.6,0,0,12441.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
45,80,12,92,0,0,73.72,73.16,50.57,50.61,0,0,12466.3,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
46,80,12,92,0,0,73.69,73.12,50.58,50.62,0,0,12490.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
47,80,12,92,0,0,73.66,73.08,50.59,50.64,0,0,12515.0,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
48,80,12,92,0,0,73.63,73.04,50.6,50.65,0,0,12539.2,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
49,80,12,92,0,0,73.6,72.99,50.62,50.66,0,0,12563.4,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
50,80,12,92,0,0,73.57,72.95,50.63,50.68,0,0,12587.2,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
51,80,12,92,0,0,73.54,72.91,50.64,50.69,0,0,12611.0,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
52,80,12,92,0,0,73.51,72.87,50.65,50.7,0,0,12634.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
53,80,12,92,0,0,73.49,72.83,50.67,50.72,0,0,12658.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
54,80,12,92,0,0,73.46,72.79,50.68,50.73,0,0,12682.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
55,80,12,92,0,0,73.43,72.74,50.69,50.75,0,0,12705.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
56,80,12,92,0,0,73.4,72.7,50.7,50.76,0,0,12729.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
57,80,12,92,0,0,73.37,72.66,50.72,50.77,0,0,12752.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
58,80,12,92,0,0,73.34,72.62,50.73,50.79,0,0,12775.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
59,80,12,92,0,0,73.31,72.57,50.74,50.8,0,0,12799.3,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
60,80,12,92,0,0,73.28,72.53,50.75,50.82,0,0,12822.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
61,80,12,92,0,0,73.26,72.49,50.77,50.83,0,0,12846.0,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
62,80,12,92,0,0,73.23,72.44,50.78,50.84,0,0,12869.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
63,80,12,92,0,0,73.2,72.4,50.79,50.86,0,0,12891.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
64,80,12,92,0,0,73.17,72.36,50.8,50.87,0,0,12914.6,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
65,80,12,92,0,0,73.14,72.31,50.82,50.89,0,0,12937.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
66,80,12,92,0,0,73.11,72.27,50.83,50.9,0,0,12959.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
67,80,12,92,0,0,73.08,72.22,50.84,50.91,0,0,12980.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
68,80,12,92,0,0,73.06,72.18,50.85,50.93,0,0,13002.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
69,80,12,92,0,0,73.03,72.14,50.87,50.94,0,0,13024.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
70,80,12,92,0,0,73.0,72.09,50.88,50.96,0,0,13046.3,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
71,80,12,92,0,0,72.97,72.05,50.89,50.97,0,0,13068.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
72,80,12,92,0,0,72.94,72.0,50.9,50.98,0,0,13089.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
73,80,12,92,0,0,72.91,71.96,50.92,51.0,0,0,13111.6,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
74,80,12,92,0,0,72.89,71.92,50.93,51.01,0,0,13133.0,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
75,80,12,92,0,0,72.86,71.87,50.94,51.03,0,0,13154.3,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
76,80,12,92,0,0,72.83,71.83,50.95,51.04,0,0,13175.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
77,80,12,92,0,0,72.8,71.79,50.97,51.05,0,0,13195.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
78,80,12,92,0,0,72.77,71.75,50.98,51.07,0,0,13216.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
79,80,12,92,0,0,72.74,71.7,50.99,51.08,0,0,13237.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
80,80,12,92,0,0,72.71,71.66,51.0,51.1,0,0,13257.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
81,80,12,92,0,0,72.69,71.62,51.01,51.11,0,0,13278.3,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
82,80,12,92,0,0,72.66,71.58,51.03,51.12,0,0,13298.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
83,80,12,92,0,0,72.63,71.53,51.04,51.14,0,0,13319.3,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
84,80,12,92,0,0,72.6,71.49,51.05,51.15,0,0,13339.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
85,80,12,92,0,0,72.57,71.45,51.06,51.16,0,0,13359.7,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
86,80,12,92,0,0,72.54,71.41,51.08,51.18,0,0,13379.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
87,80,12,92,0,0,72.52,71.37,51.09,51.19,0,0,13399.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
88,80,12,92,0,0,72.49,71.32,51.1,51.21,0,0,13419.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
89,80,12,92,0,0,72.46,71.28,51.11,51.22,0,0,13439.8,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
90,80,12,92,0,0,72.43,71.24,51.13,51.23,0,0,13459.6,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
91,80,12,92,0,0,72.4,71.2,51.14,51.25,0,0,13479.4,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
92,80,12,92,0,0,72.37,71.15,51.15,51.26,0,0,13499.1,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
93,80,12,92,0,0,72.35,71.11,51.16,51.27,0,0,13518.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
94,80,12,92,0,0,72.32,71.07,51.18,51.29,0,0,13537.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
95,80,12,92,0,0,72.29,71.03,51.19,51.3,0,0,13557.3,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
96,80,12,92,0,0,72.26,70.99,51.2,51.31,0,0,13576.4,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
97,80,12,92,0,0,72.23,70.95,51.21,51.33,0,0,13595.4,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
98,80,12,92,0,0,72.21,70.91,51.23,51.34,0,0,13614.3,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
99,80,12,92,0,0,72.18,70.87,51.24,51.35,0,0,13632.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
100,80,12,92,0,0,72.15,70.83,51.25,51.37,0,0,13651.3,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
101,80,12,92,0,0,72.12,70.79,51.26,51.38,0,0,13669.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
102,80,12,92,0,0,72.09,70.75,51.27,51.39,0,0,13687.5,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
103,80,12,92,0,0,72.07,70.71,51.29,51.41,0,0,13705.3,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
104,80,12,92,0,0,72.04,70.66,51.3,51.42,0,0,13722.9,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
105,80,12,92,0,0,72.01,70.62,51.31,51.43,0,0,13740.2,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
106,80,12,92,0,0,71.98,70.58,51.32,51.45,0,0,13757.4,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
107,80,12,92,0,0,71.95,70.54,51.34,51.46,0,0,13774.6,False,CLEAR,0.0,0.0,0.0,0.0,80.0,12.0,6.666666666666667,0.9837366119435227,0.0,0.0
